latitude,longitude,status,site
34.610419,-120.729428,Not Surveyed,Irene
34.495014,-120.702289,Not Surveyed,Hidalgo
34.4724,-120.1444,Not Surveyed,AH
34.469136,-120.680817,Not Surveyed,Harvest
34.4677,-120.1193,No Watersipora Present,AQ
34.4562,-120.3336,Not Surveyed,Bullito
34.455083,-120.646389,Not Surveyed,Hermosa
34.424039,-119.910712,Watersipora Present!!!,BI
34.42235,-119.95293,Watersipora Present!!!,Naples
34.41777,-119.90123,Watersipora Present!!!,Ellwood
34.4138,-119.8224,No Watersipora Present,Goleta
34.40355,-119.85806,No Watersipora Present,IV
34.40005,-119.74438,Watersipora Present!!!,AB
34.39413,-119.72928,Watersipora Present!!!,Mohawk
34.39237,-119.54347,No Watersipora Present,Carpinteria
34.392342,-119.679912,No Watersipora Present,1mile
34.390731,-120.120531,No Watersipora Present,Hondo
34.389928,-119.906228,No Watersipora Present,Holly
34.376675,-120.167525,Watersipora Present!!!,Harmony
34.350392,-120.279183,No Watersipora Present,Heritage
34.347656,-119.445246,Watersipora Present!!!,Arco
34.337675,-119.541486,No Watersipora Present,Hogan
34.334992,-119.552117,No Watersipora Present,Houchin
34.333256,-119.560397,No Watersipora Present,Henry
34.332925,-119.630767,No Watersipora Present,C
34.332342,-119.621536,Watersipora Present!!!,B
34.331886,-119.612469,Watersipora Present!!!,A
34.331344,-119.603247,No Watersipora Present,Hillhouse
34.307165,-119.362998,Not Surveyed,Solimar
34.289876,-119.3441,Not Surveyed,Emma
34.286617,-119.588094,No Watersipora Present,Habitat
34.182342,-119.418564,Watersipora Present!!!,Gilda
34.179572,-119.467828,Watersipora Present!!!,Grace
34.125081,-119.400217,Watersipora Present!!!,Gail
34.117497,-119.276258,Watersipora Present!!!,Gina
34.05925,-119.8285,No Watersipora Present,Hazards
34.0588,-119.7575,No Watersipora Present,Diablo
34.057403,-120.352775,Not Surveyed,Cuyler
34.056233,-120.33135,Not Surveyed,Prince
34.055198,-119.754647,Watersipora Present!!!,Frys
34.054555,-119.918871,Not Surveyed,Forneys
34.045804,-119.545324,No Watersipora Present,LScorpion
34.0445,-119.7155,No Watersipora Present,Twin
34.033012,-119.701777,No Watersipora Present,Pelican
34.03261667,-120.107,No Watersipora Present,Rodes
34.020509,-119.685178,No Watersipora Present,Prisoners
34.01675,-119.36045,No Watersipora Present,Landing
34.013605,-119.446024,No Watersipora Present,Cathedral
33.992968,-119.563695,No Watersipora Present,Yellowbanks
33.94992,-119.825447,No Watersipora Present,Gull
33.942203,-119.964145,Not Surveyed,East
33.90163,-120.103,No Watersipora Present,Johnsons
33.72171944,-118.1246583,Watersipora Present!!!,Esther
33.66232472,-118.0445058,Watersipora Present!!!,Emmy
33.66168611,-118.0620067,Watersipora Present!!!,Eva
33.59578611,-118.1406861,Watersipora Present!!!,Edith
33.58340278,-118.1270889,No Watersipora Present,Elly
33.58236667,-118.1282222,Watersipora Present!!!,Ellen
33.56378056,-118.1164944,Watersipora Present!!!,Eureka
